tasmin, Year, Statistics, Country, ISO3
14.7, 2005, Dec Average, Ecuador, ECU
15.4, 2006, Jan Average, Ecuador, ECU
16.0, 2006, Feb Average, Ecuador, ECU
16.2, 2006, Mar Average, Ecuador, ECU
15.6, 2006, Apr Average, Ecuador, ECU
15.2, 2006, May Average, Ecuador, ECU
14.9, 2006, Jun Average, Ecuador, ECU
15.2, 2006, Jul Average, Ecuador, ECU
14.6, 2006, Aug Average, Ecuador, ECU
14.3, 2006, Sep Average, Ecuador, ECU
15.1, 2006, Oct Average, Ecuador, ECU
14.9, 2006, Nov Average, Ecuador, ECU
15.1, 2006, Dec Average, Ecuador, ECU
16.1, 2007, Jan Average, Ecuador, ECU
15.7, 2007, Feb Average, Ecuador, ECU
16.0, 2007, Mar Average, Ecuador, ECU
15.7, 2007, Apr Average, Ecuador, ECU
14.7, 2007, May Average, Ecuador, ECU
14.0, 2007, Jun Average, Ecuador, ECU
13.7, 2007, Jul Average, Ecuador, ECU
13.4, 2007, Aug Average, Ecuador, ECU
13.8, 2007, Sep Average, Ecuador, ECU
14.2, 2007, Oct Average, Ecuador, ECU
14.0, 2007, Nov Average, Ecuador, ECU
14.1, 2007, Dec Average, Ecuador, ECU
15.4, 2008, Jan Average, Ecuador, ECU
15.6, 2008, Feb Average, Ecuador, ECU
15.9, 2008, Mar Average, Ecuador, ECU
15.5, 2008, Apr Average, Ecuador, ECU
14.8, 2008, May Average, Ecuador, ECU
14.6, 2008, Jun Average, Ecuador, ECU
14.5, 2008, Jul Average, Ecuador, ECU
14.5, 2008, Aug Average, Ecuador, ECU
14.5, 2008, Sep Average, Ecuador, ECU
14.7, 2008, Oct Average, Ecuador, ECU
14.5, 2008, Nov Average, Ecuador, ECU
15.0, 2008, Dec Average, Ecuador, ECU
15.3, 2009, Jan Average, Ecuador, ECU
15.7, 2009, Feb Average, Ecuador, ECU
15.3, 2009, Mar Average, Ecuador, ECU
16.4, 2009, Apr Average, Ecuador, ECU
15.8, 2009, May Average, Ecuador, ECU
15.3, 2009, Jun Average, Ecuador, ECU
15.2, 2009, Jul Average, Ecuador, ECU
15.0, 2009, Aug Average, Ecuador, ECU
15.0, 2009, Sep Average, Ecuador, ECU
15.1, 2009, Oct Average, Ecuador, ECU
15.2, 2009, Nov Average, Ecuador, ECU
15.5, 2009, Dec Average, Ecuador, ECU
16.1, 2010, Jan Average, Ecuador, ECU
16.4, 2010, Feb Average, Ecuador, ECU
16.4, 2010, Mar Average, Ecuador, ECU
16.5, 2010, Apr Average, Ecuador, ECU
16.0, 2010, May Average, Ecuador, ECU
15.0, 2010, Jun Average, Ecuador, ECU
14.1, 2010, Jul Average, Ecuador, ECU
14.1, 2010, Aug Average, Ecuador, ECU
14.2, 2010, Sep Average, Ecuador, ECU
14.6, 2010, Oct Average, Ecuador, ECU
14.2, 2010, Nov Average, Ecuador, ECU
14.3, 2010, Dec Average, Ecuador, ECU
15.1, 2011, Jan Average, Ecuador, ECU
15.5, 2011, Feb Average, Ecuador, ECU
15.3, 2011, Mar Average, Ecuador, ECU
15.8, 2011, Apr Average, Ecuador, ECU
15.8, 2011, May Average, Ecuador, ECU
15.6, 2011, Jun Average, Ecuador, ECU
14.3, 2011, Jul Average, Ecuador, ECU
14.5, 2011, Aug Average, Ecuador, ECU
14.3, 2011, Sep Average, Ecuador, ECU
14.2, 2011, Oct Average, Ecuador, ECU
14.7, 2011, Nov Average, Ecuador, ECU
14.8, 2011, Dec Average, Ecuador, ECU
15.1, 2012, Jan Average, Ecuador, ECU
15.1, 2012, Feb Average, Ecuador, ECU
15.7, 2012, Mar Average, Ecuador, ECU
16.0, 2012, Apr Average, Ecuador, ECU
15.9, 2012, May Average, Ecuador, ECU
15.6, 2012, Jun Average, Ecuador, ECU
15.0, 2012, Jul Average, Ecuador, ECU
14.5, 2012, Aug Average, Ecuador, ECU
14.7, 2012, Sep Average, Ecuador, ECU
14.9, 2012, Oct Average, Ecuador, ECU
14.9, 2012, Nov Average, Ecuador, ECU
15.0, 2012, Dec Average, Ecuador, ECU
15.7, 2013, Jan Average, Ecuador, ECU
16.0, 2013, Feb Average, Ecuador, ECU
15.8, 2013, Mar Average, Ecuador, ECU
15.4, 2013, Apr Average, Ecuador, ECU
15.3, 2013, May Average, Ecuador, ECU
14.6, 2013, Jun Average, Ecuador, ECU
14.0, 2013, Jul Average, Ecuador, ECU
13.9, 2013, Aug Average, Ecuador, ECU
14.6, 2013, Sep Average, Ecuador, ECU
14.7, 2013, Oct Average, Ecuador, ECU
14.8, 2013, Nov Average, Ecuador, ECU
15.2, 2013, Dec Average, Ecuador, ECU
15.8, 2014, Jan Average, Ecuador, ECU
15.9, 2014, Feb Average, Ecuador, ECU
15.9, 2014, Mar Average, Ecuador, ECU
15.9, 2014, Apr Average, Ecuador, ECU
16.3, 2014, May Average, Ecuador, ECU
16.0, 2014, Jun Average, Ecuador, ECU
15.1, 2014, Jul Average, Ecuador, ECU
14.5, 2014, Aug Average, Ecuador, ECU
14.8, 2014, Sep Average, Ecuador, ECU
15.3, 2014, Oct Average, Ecuador, ECU
15.1, 2014, Nov Average, Ecuador, ECU
15.3, 2014, Dec Average, Ecuador, ECU
15.7, 2015, Jan Average, Ecuador, ECU
16.4, 2015, Feb Average, Ecuador, ECU
16.0, 2015, Mar Average, Ecuador, ECU
16.2, 2015, Apr Average, Ecuador, ECU
16.7, 2015, May Average, Ecuador, ECU
16.3, 2015, Jun Average, Ecuador, ECU
15.7, 2015, Jul Average, Ecuador, ECU
15.2, 2015, Aug Average, Ecuador, ECU
16.0, 2015, Sep Average, Ecuador, ECU
16.0, 2015, Oct Average, Ecuador, ECU
15.9, 2015, Nov Average, Ecuador, ECU
16.0, 2015, Dec Average, Ecuador, ECU
16.9, 2016, Jan Average, Ecuador, ECU
17.0, 2016, Feb Average, Ecuador, ECU
16.8, 2016, Mar Average, Ecuador, ECU
16.5, 2016, Apr Average, Ecuador, ECU
16.4, 2016, May Average, Ecuador, ECU
15.6, 2016, Jun Average, Ecuador, ECU
15.0, 2016, Jul Average, Ecuador, ECU
15.3, 2016, Aug Average, Ecuador, ECU
15.0, 2016, Sep Average, Ecuador, ECU
15.3, 2016, Oct Average, Ecuador, ECU
15.5, 2016, Nov Average, Ecuador, ECU
15.3, 2016, Dec Average, Ecuador, ECU
16.3, 2017, Jan Average, Ecuador, ECU
16.6, 2017, Feb Average, Ecuador, ECU
16.6, 2017, Mar Average, Ecuador, ECU
16.6, 2017, Apr Average, Ecuador, ECU
16.2, 2017, May Average, Ecuador, ECU
15.6, 2017, Jun Average, Ecuador, ECU
14.9, 2017, Jul Average, Ecuador, ECU
14.4, 2017, Aug Average, Ecuador, ECU
14.7, 2017, Sep Average, Ecuador, ECU
15.7, 2017, Oct Average, Ecuador, ECU
14.9, 2017, Nov Average, Ecuador, ECU
14.9, 2017, Dec Average, Ecuador, ECU
15.6, 2018, Jan Average, Ecuador, ECU
15.9, 2018, Feb Average, Ecuador, ECU
16.0, 2018, Mar Average, Ecuador, ECU
15.8, 2018, Apr Average, Ecuador, ECU
16.6, 2018, May Average, Ecuador, ECU
15.2, 2018, Jun Average, Ecuador, ECU
14.6, 2018, Jul Average, Ecuador, ECU
14.6, 2018, Aug Average, Ecuador, ECU
14.8, 2018, Sep Average, Ecuador, ECU
15.2, 2018, Oct Average, Ecuador, ECU
15.0, 2018, Nov Average, Ecuador, ECU
15.3, 2018, Dec Average, Ecuador, ECU
16.2, 2019, Jan Average, Ecuador, ECU
16.5, 2019, Feb Average, Ecuador, ECU
16.3, 2019, Mar Average, Ecuador, ECU
16.5, 2019, Apr Average, Ecuador, ECU
16.3, 2019, May Average, Ecuador, ECU
15.5, 2019, Jun Average, Ecuador, ECU
15.9, 2019, Jul Average, Ecuador, ECU
15.2, 2019, Aug Average, Ecuador, ECU
15.1, 2019, Sep Average, Ecuador, ECU
15.2, 2019, Oct Average, Ecuador, ECU
15.7, 2019, Nov Average, Ecuador, ECU
16.1, 2019, Dec Average, Ecuador, ECU
16.5, 2020, Jan Average, Ecuador, ECU
16.7, 2020, Feb Average, Ecuador, ECU
16.5, 2020, Mar Average, Ecuador, ECU
16.6, 2020, Apr Average, Ecuador, ECU
16.3, 2020, May Average, Ecuador, ECU
15.6, 2020, Jun Average, Ecuador, ECU
15.1, 2020, Jul Average, Ecuador, ECU
14.5, 2020, Aug Average, Ecuador, ECU
14.6, 2020, Sep Average, Ecuador, ECU
15.1, 2020, Oct Average, Ecuador, ECU
14.7, 2020, Nov Average, Ecuador, ECU
14.9, 2020, Dec Average, Ecuador, ECU
